,trial_id,trial_status,completion_date,secondary_ids
0,IRCT20200310046736N1,Not yet recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
1,IRCT20151113025025N3,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
2,IRCT20100228003449N30,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
3,IRCT20100228003449N28,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
4,IRCT20100228003449N27,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
5,IRCT20200316046792N1,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
6,IRCT20151227025726N12,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
7,IRCT20170117032004N3,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
8,IRCT20100228003449N29,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
9,IRCT20200317046797N1,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
10,IRCT20160625028622N1,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
11,IRCT20120826010664N6,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
12,IRCT20131113015393N6,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
13,IRCT20140528017891N8,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
14,IRCT20200321046828N1,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
15,IRCT20190727044343N1,Recruitment complete,2020-04-09,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
16,IRCT20140617018126N2,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
17,IRCT20150914024017N1,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
18,IRCT20140911019125N6,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
19,IRCT20160316027081N1,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
20,IRCT20151227025726N13,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
21,IRCT20160310026998N11,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
22,IRCT20160310026998N10,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
23,IRCT20180610040049N3,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
24,IRCT20200324046847N1,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
25,IRCT20140907019073N4,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
26,IRCT20200324046850N5,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
27,IRCT20200325046860N1,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
28,IRCT20101219005416N2,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
29,IRCT20200317046797N2,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
30,IRCT20200325046860N2,Recruitment complete,2020-04-29,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
31,IRCT20170611034452N11,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
32,IRCT20190917044805N2,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
33,IRCT20120225009124N4,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
34,IRCT20180802040678N4,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
35,IRCT20150704023055N2,Recruitment complete,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
36,IRCT20200319046819N1,recruiting,,"<div class=""section"">
<h3 id=""trial-secondary_id"">Secondary Ids</h3>
<div class=""section-inner"">
<div class=""empty-section"">
		empty	</div>
</div>
</div>"
